"term","cv","global_freq","relfreq_class_1","relfreq_class_2","relfreq_class_3","relfreq_class_4","relfreq_class_5"
"also",0.0476,2822,0.00191492069505406,0.00181829426680685,0.00186906101934504,0.00174153173412616,0.00170796508160278
"evaluated",0.0484,1108,0.000686648533620621,0.000705052878965922,0.00064396219994241,0.000732419888183897,0.000714556819854223
"used",0.0507,2442,0.00151832197304904,0.00141629043230874,0.00149210753645193,0.00157063376021658,0.00161888753766431
"study",0.0517,5512,0.00319054792777168,0.00358092646422166,0.00357582262244444,0.00364853610965682,0.00353792766903432
"among",0.0601,1670,0.00114836047864138,0.000977178551549261,0.00104185754299626,0.00107150316975052,0.00102632822363886
"identified",0.0603,1097,0.000722164837083756,0.000680314181458346,0.000706787780424596,0.000626625904335112,0.00073004856662613
"related",0.0622,1939,0.00115132017059664,0.00126785824726328,0.00131410172508573,0.00131835579873101,0.00117737275466495
"old",0.0659,1227,0.000805036211831073,0.000773084297111757,0.00085861626658988,0.000716143890668699,0.00077846027528834
"important",0.067,1153,0.000763600524457414,0.000748345599604181,0.000806261616188058,0.000672741230628172,0.000720366224893688
"incidence",0.0687,1736,0.00111284417517825,0.00119982682911745,0.000989502892594435,0.00108506650101318,0.00111734223592381
"present",0.0694,1869,0.00123715123729922,0.00128022759601707,0.00128268893484464,0.00109049183351825,0.00115607160285358
"results",0.0719,4239,0.00275547321034827,0.00233162224008906,0.00276956100625638,0.0026177229336943,0.00278270501390384
"technique",0.0764,1084,0.000713285761217972,0.00068649885583524,0.000586372084500406,0.000699867893153502,0.000701001541428804
"can",0.0817,2453,0.00165742749494633,0.00155235326860041,0.00172246799821994,0.00138345978879181,0.00155498408223019
"population",0.0817,972,0.000633374078425917,0.000618467437689406,0.00064396219994241,0.000686304561890837,0.000546084073709731
"demonstrated",0.0824,1278,0.000816874979652118,0.000705052878965922,0.000890029056830973,0.000797523878244688,0.000821062578911085
"normal",0.0834,3716,0.0023174388009696,0.00275218009771785,0.002471139498966,0.00231932964591567,0.00224823975027304
"observed",0.085,1855,0.00134961953159915,0.00111942606221782,0.00115703777388026,0.0011691591548417,0.00109604108411244
"initial",0.0875,1276,0.00073104391294954,0.000828746366503804,0.00071725871050496,0.000821937874517484,0.000881093097652226
"major",0.0875,1188,0.000686648533620621,0.000661760158327664,0.000732965105625507,0.000773109881971891,0.000821062578911085
