"token","cv_mean","cv_sd","cv","global_freq","relfreq_class_1","relfreq_class_2","relfreq_class_3","relfreq_class_4","relfreq_class_5"
"also",0.00181035455938698,8.61158384980238e-05,0.0476,2822,0.00191492069505406,0.00181829426680685,0.00186906101934504,0.00174153173412616,0.00170796508160278
"evaluated",0.000696528064113415,3.3714636049275e-05,0.0484,1108,0.000686648533620621,0.000705052878965922,0.00064396219994241,0.000732419888183897,0.000714556819854223
"used",0.00152324824793812,7.71787647827753e-05,0.0507,2442,0.00151832197304904,0.00141629043230874,0.00149210753645193,0.00157063376021658,0.00161888753766431
"study",0.00350675215862578,0.000181198974481091,0.0517,5512,0.00319054792777168,0.00358092646422166,0.00357582262244444,0.00364853610965682,0.00353792766903432
"among",0.00105304559331525,6.32858748681041e-05,0.0601,1670,0.00114836047864138,0.000977178551549261,0.00104185754299626,0.00107150316975052,0.00102632822363886
"identified",0.000693188253985588,4.17718813012945e-05,0.0603,1097,0.000722164837083756,0.000680314181458346,0.000706787780424596,0.000626625904335112,0.00073004856662613
"related",0.00124580173926832,7.74996159742341e-05,0.0622,1939,0.00115132017059664,0.00126785824726328,0.00131410172508573,0.00131835579873101,0.00117737275466495
"old",0.00078626818829795,5.18137982352331e-05,0.0659,1227,0.000805036211831073,0.000773084297111757,0.00085861626658988,0.000716143890668699,0.00077846027528834
"important",0.000742263039154303,4.97515226363482e-05,0.067,1153,0.000763600524457414,0.000748345599604181,0.000806261616188058,0.000672741230628172,0.000720366224893688
"incidence",0.00110091652676542,7.55968614178497e-05,0.0687,1736,0.00111284417517825,0.00119982682911745,0.000989502892594435,0.00108506650101318,0.00111734223592381
"present",0.00120932624090655,8.38763826951542e-05,0.0694,1869,0.00123715123729922,0.00128022759601707,0.00128268893484464,0.00109049183351825,0.00115607160285358
"results",0.00265141688085837,0.000190673950955423,0.0719,4239,0.00275547321034827,0.00233162224008906,0.00276956100625638,0.0026177229336943,0.00278270501390384
"technique",0.000677405227227185,5.17650878485159e-05,0.0764,1084,0.000713285761217972,0.00068649885583524,0.000586372084500406,0.000699867893153502,0.000701001541428804
"can",0.00157413852655773,0.000128587086887251,0.0817,2453,0.00165742749494633,0.00155235326860041,0.00172246799821994,0.00138345978879181,0.00155498408223019
"population",0.00062563847033166,5.1128023371576e-05,0.0817,972,0.000633374078425917,0.000618467437689406,0.00064396219994241,0.000686304561890837,0.000546084073709731
"demonstrated",0.000806108674520957,6.64607698046592e-05,0.0824,1278,0.000816874979652118,0.000705052878965922,0.000890029056830973,0.000797523878244688,0.000821062578911085
"normal",0.00242166555876843,0.000201928142149978,0.0834,3716,0.0023174388009696,0.00275218009771785,0.002471139498966,0.00231932964591567,0.00224823975027304
"observed",0.00117825672133028,0.000100148239681094,0.085,1855,0.00134961953159915,0.00111942606221782,0.00115703777388026,0.0011691591548417,0.00109604108411244
"initial",0.000796015992425603,6.96516614288517e-05,0.0875,1276,0.00073104391294954,0.000828746366503804,0.00071725871050496,0.000821937874517484,0.000881093097652226
"major",0.000735109251691354,6.43528368011433e-05,0.0875,1188,0.000686648533620621,0.000661760158327664,0.000732965105625507,0.000773109881971891,0.000821062578911085
"development",0.000770197489285161,6.79494086350783e-05,0.0882,1201,0.000769519908367937,0.000735976250850393,0.000879558126750609,0.000697155226900969,0.000768777933555898
"levels",0.00167061156204758,0.000149401988328846,0.0894,2623,0.00170182287427525,0.00153998391984662,0.00173293892830031,0.00187173971424774,0.00150657237356798
"patient",0.00315142261771123,0.000284621140483972,0.0903,4892,0.003012966410456,0.00341394025604552,0.00336116855579697,0.00272351691754308,0.00324552094871457
"role",0.000836637086897185,7.57792175396715e-05,0.0906,1310,0.000884947894623128,0.000933885830911003,0.0007643778958666,0.000759546550709227,0.000840427262375969
"seven",0.000852903002966834,7.72697836225586e-05,0.0906,1353,0.000914544814175741,0.000804007668996227,0.000895264521871155,0.000740557886941496,0.000910140122849552
"two",0.00356927094102196,0.000328993358187785,0.0922,5659,0.00379728477860024,0.00386542148555879,0.00313604355906913,0.00329860216308007,0.00374900271880156
"obtained",0.000761173795816164,7.09719643783292e-05,0.0932,1212,0.000846471899204731,0.000698868204589028,0.000712023245464778,0.000830075873275083,0.0007184297565472
"using",0.00143161630370784,0.00013519137553779,0.0944,2302,0.0016367096512595,0.00129259694477086,0.00134027905028664,0.00140516111881207,0.00148333475341012
"studied",0.00123551247555214,0.000118950858022936,0.0963,1906,0.00108324725562563,0.00129878161914775,0.00139786916572865,0.0011854351523569,0.00121222918490174
"different",0.000828344089076697,8.04918935175411e-05,0.0972,1315,0.00093526265786257,0.000717422227719711,0.000853380801549698,0.000843639204537748,0.000792015553713759
"patients",0.0222409243466445,0.00216868307652159,0.0975,34444,0.0208806267443684,0.025975632382955,0.0207533834192822,0.0222492886032753,0.0213456905833417
"nine",0.000650719633913409,6.42787026475694e-05,0.0988,1028,0.00070736637730745,0.000698868204589028,0.00059684301458077,0.000566947246779387,0.000683573326310408
"higher",0.00112151658832139,0.000111921259502684,0.0998,1755,0.00107732787171511,0.00123075020100192,0.00100520928771498,0.00125053914241769,0.00104375643875725
"evaluation",0.000772975997087153,7.85001064833212e-05,0.1016,1177,0.000778398984233721,0.000834931040880698,0.000863851731630062,0.000694442560648436,0.00069325566804285
"may",0.00327574936492912,0.000335330804945083,0.1024,5037,0.00315207193235328,0.00326550807100006,0.0038533022695741,0.00301919753906918,0.00308866701264901
"developed",0.00106351199251321,0.000109132412641369,0.1026,1648,0.000953020809594137,0.00119364215474055,0.00112038951859899,0.000946720522134,0.00110378695749839
"method",0.00055168304774428,5.68057143646594e-05,0.103,894,0.000600817466918043,0.000513327973282207,0.000471191853616397,0.000594073909304716,0.000579004035600034
